COD_UNICO_EMP;EMPR_NOME_FAN;Origem;Descricao;CFOP;CME;Serie;C.Custo;Conta Gerencial;Servicos;Oper.Trib.ICMS;Oper.Trib.ICMS-ST;Oper.Trib.IPI;Oper.Trib.PIS/COFINS;Perc.Desconto;CEBF
U01001;ADEX;150;OUTRA SAIDA DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO NAO ESPECI;5949;300;      ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;151;REMESSA PARA DESCARTE                                       ;5949;290;      ;      ;00.00.000;NAO;S;S;S;S;0;PR800021  
U01001;ADEX;160;RETORNO DE CONSERTO                                         ;5916;250;      ;1000;00.00.000;NAO;s;N;N;n;0;PR840007  
U01001;ADEX;161;RETORNO DE GARANTIA                                         ;5949;290;      ;1;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;162;RETORNO DE DEMONSTRAÇÃO                                     ;5913;300;      ;1000;00.00.000;NAO;s;N;S;S;0;PR840026  
U01001;ADEX;163;RETORNO DE INDUSTRIALIZAÇÃO                                 ;5902;300;      ;1;00.00.000;NAO;n;N;N;N;0;          
U01001;ADEX;164;RETORNO MERCADORIA N/APLICADA                               ;5903;290;      ;      ;00.00.000;NAO;n;N;N;N;0;          
U01001;ADEX;165;VENDA DE PROD ENTREGUE AO DESTINATARIO                      ;5118;210;      ;      ;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;166;OUTRAS SAIDAS MOV SDA VERNZ                                 ;5949;290;VE    ;      ;00.00.000;NAO;n;N;N;n;0;          
U01001;ADEX;167;APROPRIACAO DE CREDITO TRANSFE                              ;1601;300;      ;1000;00.00.000;NAO;n;N;N;n;0;          
U01001;ADEX;168;AMOSTRA PARA ANALISE                                        ;6949;290;      ;      ;00.00.000;NAO;n;N;N;T;0;PR840026  
U01001;ADEX;169;REMESSA AMOSTRA                                             ;5911;290;      ;      ;00.00.000;NAO;n;N;N;n;0;PR809998  
U01001;ADEX;170;SAIDA DE TRANSFERÊNCIA                                      ;5152;300;      ;      ;00.00.000;NAO;S;S;N;n;0;          
U01001;ADEX;171;Transferência de material de uso ou consumo                 ;5557;300;      ;1000;00.00.000;NAO;n;N;N;n;0;PR800015  
U01001;ADEX;172;REMESSA DE VASILHAME NAO MOV                                ;5920;300;VE    ;1000;00.00.000;NAO;N;n;N;n;0;PR810171  
U01001;ADEX;173;Transferência de material de uso ou consumo                 ;6557;300;      ;1000;00.00.000;NAO;n;N;N;n;0;PR800014  
U01001;ADEX;174;Devolução de mercadoria recebida em transf para comercializa;5209;240;      ;1400;00.00.000;NAO;S;n;N;S;0;          
U01001;ADEX;175;SIMPLES REMESSA                                             ;5949;300;      ;1000;11.01.010;NAO;S;S;S;S;0;          
